"Welcome to my weblog.","Jaeyoung Jung","1515608811","Hi. Welcome to my weblog"
"Jojo's Bizarre Adventure Part 1 Review","Jaeyoung Jung","1515612359","Jojo's Bizarre Adventure Part 1 is the story of Jonathan Joestar, the son of a wealthy Englishman, and Dio Brando, the son of a poor drunkard who was adopted by Jonathan's Father. It's pretty good."
"Weblog Progress","Jaeyoung Jung","1515614048","My weblog now has basic features! I worked on it during 6.148 lecture."
